epoch,acc,loss,val_acc,val_loss
0,0.37856,2.0969134924316406,0.5399,1.3648294187545775
1,0.51132,1.5203687172317504,0.5902,1.2423591821670532
2,0.58124,1.2817644199752807,0.6466,1.075336688041687
3,0.6249,1.1327691096687318,0.675,0.9967093885421753
4,0.65554,1.0302714042663574,0.6966,0.9366911612510681
5,0.68366,0.9545445231819153,0.7065,0.8869706652641296
6,0.70234,0.8944765424919129,0.7386,0.7919791838645935
7,0.71846,0.8482333847427368,0.7448,0.7768336059570312
8,0.7327,0.7979688857269287,0.7579,0.7434917168617249
9,0.74924,0.76017751455307,0.7494,0.7835395384788513
10,0.75742,0.7343719762611389,0.7718,0.7071728071212768
11,0.76692,0.711234442949295,0.7743,0.7041221109867096
12,0.7748,0.68457022813797,0.7843,0.6656850379467011
13,0.78224,0.6671342433261871,0.7883,0.6530194511413574
14,0.78708,0.6440153512859345,0.7781,0.6842995615005493
15,0.79306,0.628999800081253,0.7922,0.6522731997489929
16,0.80444,0.6049384945392609,0.7957,0.6447813891887665
17,0.8078,0.5926433052062988,0.8014,0.6183422302722931
18,0.8119,0.5805513490581512,0.8015,0.6222077984809875
19,0.81908,0.5623782665348053,0.7924,0.6655446298599244
20,0.8219,0.5498861535930634,0.8082,0.6063665051937104
21,0.82652,0.5383749263930321,0.8142,0.5969946051597596
22,0.82928,0.5292615743255615,0.8198,0.5781620292186737
23,0.83458,0.511189635925293,0.8201,0.5779675181388855
24,0.83802,0.5046499041175843,0.8221,0.5815590237140655
25,0.83956,0.4962103794670105,0.8194,0.5951364483833314
26,0.84616,0.48311052289009093,0.8183,0.5936032525062561
27,0.84822,0.47542345621585846,0.8256,0.5687344496250153
28,0.85138,0.4667160465145111,0.8299,0.5560990009307861
29,0.85484,0.45653318521499636,0.821,0.5880756064891816
30,0.85708,0.44710860127449037,0.8283,0.5604288290500641
31,0.85964,0.4383415554475784,0.8301,0.5625325193405152
32,0.86312,0.42951137035369874,0.8246,0.5755025027275086
33,0.86514,0.42481689311027526,0.8351,0.5477753126621246
34,0.87054,0.41339244061946867,0.8369,0.5584141496658325
35,0.8714,0.40649666660308836,0.8255,0.5961381856441498
36,0.87392,0.402199935631752,0.8336,0.5583722779273986
37,0.87616,0.3931878322649002,0.8273,0.5879880430221558
38,0.87996,0.3841565085077286,0.839,0.5411683566093445
39,0.88068,0.378765673995018,0.8371,0.5544227890014648
40,0.88178,0.3768360329294205,0.8381,0.5558028015613556
41,0.88514,0.3692150270271301,0.8402,0.5452182312488556
42,0.88858,0.3576713210964203,0.8337,0.5755075408935547
43,0.89038,0.35771195865631106,0.8424,0.5454978672504425
44,0.89068,0.35349248497486113,0.8438,0.5447444766998291
45,0.89184,0.35072779630184175,0.8384,0.5675074483394623
46,0.8944,0.3439570244979858,0.8449,0.5649743402957916
47,0.89672,0.3365740892791748,0.8428,0.551922162771225
48,0.89964,0.32985782974243166,0.8477,0.5428768556833268
49,0.90138,0.327566623878479,0.8456,0.543069154548645
