epoch,acc,loss,val_acc,val_loss
0,0.3643,2.140423524169922,0.5288,1.4286335897445679
1,0.50436,1.5413561777877807,0.6017,1.1920278968811036
2,0.58302,1.2754871156692504,0.6802,0.9726392024993896
3,0.6301,1.120705198688507,0.6814,0.9820405650138855
4,0.65818,1.0301446253967286,0.7113,0.8873018684387207
5,0.68398,0.9499889650344848,0.7056,0.9068776030540466
6,0.70326,0.8945911590003968,0.7393,0.7898464105606079
7,0.72088,0.8408193750762939,0.7448,0.7890308216094971
8,0.73116,0.8115839548492432,0.7511,0.7622361170768738
9,0.74454,0.7727214825248718,0.7559,0.7704217363357544
10,0.7564,0.7413718906211852,0.7788,0.6841994365692139
11,0.76372,0.715302419424057,0.769,0.7158885213851929
12,0.774,0.6852674140167236,0.7926,0.6522909436225891
13,0.7771,0.6707998979187012,0.7953,0.6390405083656311
14,0.78616,0.6514655313396454,0.7959,0.6360463758945465
15,0.79524,0.6279011327075958,0.7909,0.6500877630710602
16,0.80088,0.6144327335453034,0.8035,0.6279330386638642
17,0.80714,0.5945945797348022,0.8062,0.6169138360977173
18,0.81238,0.5808222302246093,0.8109,0.5889127767562866
19,0.8156,0.5660806733322143,0.8058,0.6182082220077515
20,0.82182,0.550081065196991,0.7967,0.6395884954452514
